id_camara,longitud,latitud
11318,-3.74192715,40.37286565
12301,-3.69917659,40.38784452
12302,-3.69507802,40.37556937
12303,-3.71003228,40.39068366
12304,-3.72007341,40.36965655
12305,-3.69436528,40.37082113
12306,-3.71232186,40.37342221
12307,-3.71950649,40.37390163
12308,-3.69396814,40.36421469
12309,-3.69596372,40.38536005
12310,-3.71211253,40.38512685
13301,-3.66966496,40.39845027
13302,-3.65380698,40.39163817
13303,-3.64388450,40.38914151
13304,-3.64013453,40.39439238
13305,-3.66560687,40.40416192
13306,-3.66371261,40.36777731
13307,-3.66695716,40.40168766
13308,-3.66885059,40.38167796
13310,-3.67954194,40.37153426
13311,-3.66733972,40.39734896
13312,-3.65298654,40.38134887
13313,-3.66361482,40.38211970
13314,-3.65961849,40.37646601
13315,-3.63357052,40.38434069
13316,-3.65429201,40.40430936
14007,-3.65130829,40.40568765
14301,-3.63126934,40.40763817
14302,-3.62756168,40.41437425
14303,-3.65515930,40.41070494
14304,-3.63606529,40.40088164
14305,-3.65963689,40.41556475
14306,-3.64713300,40.39894796
14307,-3.65824534,40.41049097
14308,-3.64613637,40.40806700
15301,-3.66373168,40.48329966
15302,-3.66421712,40.48386887
15303,-3.65641826,40.45575856
15304,-3.65113817,40.44940537
15305,-3.63810860,40.43796397
15306,-3.65967026,40.44470696
15307,-3.66027001,40.43176870
15308,-3.63941422,40.42323340
15309,-3.65624784,40.42253651
15310,-3.64811064,40.43317770
15311,-3.65591623,40.43461273
15312,-3.64717855,40.42726071
15313,-3.65702751,40.44081575
15314,-3.63425552,40.43303697
15315,-3.64384089,40.42942390
15316,-3.65239183,40.45092180
15317,-3.66384507,40.46189069
15318,-3.66635620,40.46718641
16301,-3.61700383,40.45858925
16302,-3.62263707,40.45445904
16303,-3.63848866,40.46992715
16304,-3.64659857,40.46840810
16305,-3.65421010,40.46690988
16306,-3.66619102,40.49493272
16307,-3.67383488,40.48425021
16308,-3.65127453,40.48707241
16309,-3.65898088,40.48694664
16310,-3.63537557,40.46266786
16311,-3.65791036,40.47100812
16312,-3.64409282,40.45763241
16313,-3.65893468,40.50061803
16314,-3.64810846,40.48373445
16315,-3.67218907,40.49114665
17301,-3.69289139,40.35161565
17302,-3.69280150,40.34146308
17303,-3.70583891,40.34980423
17304,-3.67515524,40.34884445
18005,-3.63038754,40.37698744
18301,-3.62532249,40.38339047
18302,-3.60168116,40.36814168
18303,-3.60967908,40.36857230
18304,-3.61491934,40.38678012
18305,-3.61378546,40.37060036
18306,-3.59159438,40.35990039
18307,-3.62436940,40.38140809
19301,-3.60979588,40.40981359
19302,-3.61953873,40.39720619
19303,-3.60304125,40.39924406
19304,-3.59509639,40.40380518
20301,-3.62831822,40.42450266
20302,-3.62379090,40.41822833
20303,-3.61107227,40.42117094
20304,-3.60655910,40.43548766
20305,-3.61206625,40.43456341
20306,-3.62356284,40.44195192
20307,-3.62627606,40.44763006
20308,-3.58289089,40.44457861
20309,-3.60858176,40.44922002
20310,-3.62333896,40.41690907
20311,-3.61319937,40.42220625
20313,-3.60396398,40.42402007
21301,-3.58143004,40.46916078
21302,-3.59306512,40.46054054
21303,-3.58238046,40.47584034
21305,-3.61546858,40.46379440
