index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_woo_min,int_woo_max,int_woo_mean,int_woo_median,ocu_woo_min,ocu_woo_max,ocu_woo_mean,ocu_woo_median,car_woo_min,car_woo_max,car_woo_mean,car_woo_median,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
120,124,1,1,1,1,999999,999999,999999,999999,0,1560,184.4047619047619,55.5,0,83,3.5238095238095237,0,0,84,8.738095238095237,4.5,3,660,167.70833333333334,128.5,1,9,2,1,2,25,8.521739130434783,7,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
121,125,0,1,1,1,999999,999999,999999,999999,0,855,249,180,0,55,7.733333333333333,4,0,62,23.133333333333333,18,90,495,240,202.5,1,21,6.1,4.5,6,58,23.75,21,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
122,126,0,6,2,3,1,5,3,3,0,1931,515.2325581395348,360,0,47,5.209302325581396,3,0,62,20.348837209302324,18,60,1200,515.4117647058823,510,1,7,3.6875,3,3,43,20.6,20,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
123,127,0,2,1,1,1,1,1,1,0,740,268.04716981132077,210,0,68,3.547169811320755,1,0,71,12.10377358490566,10,20,620,263.1847826086956,220,1,9,2.0285714285714285,2,1,24,11.159574468085106,10,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
124,128,0,10,4,4,2,6,4,4,40,1460,581.9411764705883,560,0,42,6.117647058823529,3,13,44,22.88235294117647,21,100,1140,556.7954545454545,540,2,37,4.666666666666667,3,15,38,22.568181818181817,21.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
125,129,0,1,0,0,999999,999999,999999,999999,0,800,291.48148148148147,220,0,47,3.3518518518518516,2,0,49,20.22222222222222,16.5,20,740,296.8888888888889,240,1,9,2.923076923076923,3,4,42,19.791666666666668,16.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
126,130,1,4,3,3,3,3,3,3,0,840,185.24074074074073,160,0,77,8.222222222222221,2,0,83,16.38888888888889,12,36,440,177.84444444444443,160,1,51,6.184210526315789,3,1,53,14.326086956521738,12.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
127,131,10,14,12,11,11,11,11,11,0,1360,246.13725490196077,103,0,8,1.5686274509803921,1,0,36,8.980392156862745,7,40,880,229.09756097560975,103,1,3,1.84,1,1,19,8.538461538461538,8,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
128,132,0,3,1,0,999999,999999,999999,999999,0,420,99.42857142857143,60,0,100,2.8,1,0,100,8.442857142857143,7,60,240,122.52631578947368,120,1,4,1.8780487804878048,2,2,19,8.552083333333334,7,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
129,133,3,8,5,3,999999,999999,999999,999999,0,840,258.6794871794872,220,0,68,3.423076923076923,1,0,79,14.73076923076923,11,40,660,250.83823529411765,230,1,18,2.3658536585365852,1,5,27,13.696969696969697,12,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
130,134,0,0,0,0,999999,999999,999999,999999,60,1680,585.3333333333334,420,0,6,2.2666666666666666,2,2,51,22.666666666666668,22,180,1200,583.7837837837837,420,1,3,2.088235294117647,2,7,38,21.657894736842106,22,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
131,135,3,4,3,3,999999,999999,999999,999999,0,280,102.37037037037037,120,0,34,2.5925925925925926,1,0,36,7.148148148148148,6,40,200,112.2,127,1,4,1.6428571428571428,1,1,13,7.05,6.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
132,136,1,4,2,1,999999,999999,999999,999999,0,480,160,120,0,7,1.5555555555555556,2,0,29,7.904761904761905,7,60,360,160.43478260869566,120,1,2,1.8846153846153846,2,1,16,8.395833333333334,8.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
