index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_woo_min,int_woo_max,int_woo_mean,int_woo_median,ocu_woo_min,ocu_woo_max,ocu_woo_mean,ocu_woo_median,car_woo_min,car_woo_max,car_woo_mean,car_woo_median,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
181,186,0,4,1,1,1,2,1,1,0,1740,413.25,180,0,42,3.1875,1,0,59,15.625,12,48,1440,397.2631578947368,216,1,5,2.1875,2,2,37,15.128205128205128,15,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
182,187,0,2,1,1,1,1,1,1,0,805,189.33333333333334,85,0,52,2.7733333333333334,1,0,52,10.053333333333333,8,42,593,181.8135593220339,103,1,5,2.1777777777777776,2,1,25,9.8,8,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
183,188,0,0,0,0,999999,999999,999999,999999,0,1280,312.5925925925926,180,0,51,2.787037037037037,1.5,0,53,13.74074074074074,10.5,60,840,288.60215053763443,200,1,7,2.1447368421052633,2,4,29,13.411111111111111,12.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
184,189,2,7,5,5,3,6,5,5,0,445,139.33333333333334,119,0,6,1.0392156862745099,1,0,13,5.588235294117647,5,14,309,139.66666666666666,124,1,2,1.2608695652173914,1,1,12,5.682926829268292,5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
185,190,2,17,8,6,3,15,7,6,0,2340,791.5,720,0,48,9.287878787878787,5,0,74,33.95454545454545,34.5,60,1740,759.9827586206897,720,1,24,7.821428571428571,5,5,62,33.96551724137931,34.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
186,191,0,2,1,0,999999,999999,999999,999999,40,600,215.23809523809524,180,0,7,1.7619047619047619,1,7,29,15.619047619047619,13,100,380,224.28571428571428,190,1,3,2,2,8,26,15.117647058823529,13,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
187,192,1,1,1,1,999999,999999,999999,999999,0,1320,236.42424242424244,60,0,28,1.878787878787879,1,0,34,7.484848484848484,4,5,780,213.68,69,1,3,1.7647058823529411,1,1,21,7.24,4,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
188,193,1,2,1,1,999999,999999,999999,999999,0,2280,400.33898305084745,160,0,30,1.9830508474576272,0,0,42,12.610169491525424,8,40,1920,331.37254901960785,160,1,5,2.4615384615384617,2,3,36,11.923076923076923,8.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
189,194,4,6,5,5,5,5,5,5,0,560,218.320987654321,180,0,13,1.7160493827160495,1,0,25,12.17283950617284,11,20,499,209.91304347826087,180,1,2,1.5833333333333333,2,2,22,11.91304347826087,11,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
190,195,0,1,0,0,999999,999999,999999,999999,0,1220,168.86111111111111,100,0,29,2.75,0,0,28,7.527777777777778,7,20,499,159.96296296296296,120,1,11,3.066666666666667,2,2,16,7.964285714285714,7.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
191,196,2,7,5,5,5,5,5,5,0,463,151.46875,174.5,0,3,0.96875,1,0,18,6.09375,6.5,45,341,174.95652173913044,189,1,2,1.1176470588235294,1,3,11,6.863636363636363,7,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
192,197,0,2,1,1,1,1,1,1,0,1620,389.2307692307692,120,0,78,5.82051282051282,1,0,79,17,12,20,1240,380.625,190,1,32,3.4166666666666665,1,3,48,15.205882352941176,12,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
193,198,0,9,3,0,999999,999999,999999,999999,0,840,177.14285714285714,120,0,8,2.2857142857142856,2,0,33,11.666666666666666,10,40,300,128.57142857142858,100,1,3,1.875,2,3,24,11.1875,10.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
194,199,1,2,2,2,999999,999999,999999,999999,0,1380,313.030303030303,240,0,65,5.4393939393939394,2,0,51,16.575757575757574,13.5,40,840,290.35714285714283,240,1,16,3.803921568627451,2,6,33,15.196428571428571,13.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
195,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,240,109.33333333333333,100,0,4,1.5333333333333334,1,2,17,7,6,60,180,104,100,1,3,1.9,1.5,3,13,7,6.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
196,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,380,104.46296296296296,85,0,53,7.222222222222222,2,0,64,11.833333333333334,7,19,253,101.15555555555555,90,1,36,7.242857142857143,3.5,1,35,10.597826086956522,7.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
197,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,300,83.33333333333333,80,0,22,2.625,0.5,1,33,15.125,13,20,200,77.89473684210526,80,1,8,2.3,1,6,29,14.7,13,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
198,149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,800,364.2105263157895,310,0,6,2.1052631578947367,2,5,29,15.973684210526315,14.5,120,700,370.3030303030303,320,1,4,2.206896551724138,2,8,25,15.852941176470589,14.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
199,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
