index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_min_woo,int_max_woo,int_mean_woo,int_median_woo,ocu_min_woo,ocu_max_woo,ocu_mean_woo,ocu_median_woo,car_min_woo,car_max_woo,car_mean_woo,car_median_woo,ocu_mean_25,ocu_mean_50,ocu_mean_75,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
42,42,0,1,0.5,0.5,999999,999999,999999,999999,0,200,39.72789115646258,20,0,22,0.38095238095238093,0,0,11,0.8775510204081632,0,0,100,34.24460431654676,20,0,0,0,0,0,3,0.5467625899280576,0,0.38095238095238093,0.38095238095238093,0.38095238095238093,1,22,0,"2019-10-22 03:00:00",0,0,0,0,0,0,0,0,0,360,8,7.7,8,0,0
42,42,0,1,0.5,0.5,999999,999999,999999,999999,0,180,32.61744966442953,20,0,29,0.3959731543624161,0,0,32,0.9798657718120806,0,0,100,29.02777777777778,20,0,0,0,0,0,3,0.5902777777777778,0,0.3959731543624161,0.3959731543624161,0.3959731543624161,1,22,0,"2019-10-22 03:15:00",0,0,0,0,0,0,0,0,0,360,8,7.7,8,0,0
42,42,0,2,1,1,1,1,1,1,0,340,34.69387755102041,20,0,28,0.46258503401360546,0,0,9,0.8639455782312925,1,0,100,29.718309859154928,20,0,1,0.04895104895104895,0,0,3,0.6453900709219859,1,0.46258503401360546,0.46258503401360546,0.46258503401360546,1,22,0,"2019-10-22 03:30:00",0,0,0,0,0,0,0,0,0,360,8,7.7,8,0,0
42,42,0,1,0.5,0.5,999999,999999,999999,999999,0,120,24.266666666666666,20,0,17,0.14666666666666667,0,0,11,0.6666666666666666,0,0,80,20.555555555555557,20,0,0,0,0,0,2,0.3873239436619718,0,0.14666666666666667,0.14666666666666667,0.14666666666666667,1,22,0,"2019-10-22 03:45:00",0,0,0,0,0,0,0,0,0,360,8,7.7,8,0,0
42,42,0,1,0.5,0.5,999999,999999,999999,999999,0,220,33.6,20,0,16,0.17333333333333334,0,0,9,0.6933333333333334,0,0,100,27.464788732394368,20,0,0,0,0,0,3,0.5379310344827586,0,0.17333333333333334,0.17333333333333334,0.17333333333333334,1,22,0,"2019-10-22 04:00:00",0,0,0,0,0,0,0,0,0,360,8.3,7.9,8.4,0,0
42,42,1,1,1,1,999999,999999,999999,999999,0,400,31.2751677852349,20,0,32,0.4429530201342282,0,0,25,1.0939597315436242,0,0,100,23.97163120567376,20,0,0,0,0,0,3,0.475177304964539,0,0.4429530201342282,0.4429530201342282,0.4429530201342282,1,22,0,"2019-10-22 04:15:00",0,0,0,0,0,0,0,0,0,360,8.3,7.9,8.4,0,0
42,42,0,1,0.75,1,999999,999999,999999,999999,0,160,26,20,0,8,0.14,0,0,7,0.58,0,0,100,23.80952380952381,20,0,0,0,0,0,2,0.3591549295774648,0,0.14,0.14,0.14,1,22,0,"2019-10-22 04:30:00",0,0,0,0,0,0,0,0,0,360,8.3,7.9,8.4,0,0
42,42,0,3,1.5,1.5,1,2,1.5,1.5,0,160,36.08108108108108,20,0,22,0.22972972972972974,0,0,13,0.8783783783783784,0,0,100,30.428571428571427,20,0,0,0,0,0,3,0.5214285714285715,0,0.22972972972972974,0.22972972972972974,0.22972972972972974,1,22,0,"2019-10-22 04:45:00",0,0,0,0,0,0,0,0,0,360,8.3,7.9,8.4,0,0
42,42,0,3,1,0.5,1,1,1,1,0,940,45.67567567567568,20,0,38,0.4864864864864865,0,0,21,1.135135135135135,1,0,140,37.083333333333336,20,0,0,0,0,0,3,0.5857142857142857,0,0.4864864864864865,0.4864864864864865,0.4864864864864865,1,22,0,"2019-10-22 05:00:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.8,0,0
42,42,1,3,2.25,2.5,2,2,2,2,0,240,45.17006802721088,40,0,29,0.3129251700680272,0,0,16,1.0476190476190477,1,0,140,37.857142857142854,40,0,0,0,0,0,3,0.8531468531468531,1,0.3129251700680272,0.3129251700680272,0.3129251700680272,1,22,0,"2019-10-22 05:15:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.8,0,0
