,id_cluster,longitud,latitud
0,0,-3.6785543146613544,40.43400375585657
1,1,-3.700608530359712,40.39661753442446
2,2,-3.625743795141243,40.43707827960452
3,3,-3.6429887889147285,40.39107495875969
4,4,-3.7227865190384617,40.478563797451926
5,5,-3.765056506527778,40.391841948125
6,6,-3.7232203572928175,40.43808386022099
7,7,-3.6656303006748465,40.49479727662577
8,8,-3.6993805828301887,40.42327426207547
9,9,-3.789173504516129,40.459484942580644
10,10,-3.653251962329317,40.436548623614456
11,11,-3.7080465726666665,40.34326378516667
12,12,-3.754893535051546,40.36919887164949
13,13,-3.6721812743506494,40.39397581805195
14,14,-3.6131317536363636,40.374446925
15,15,-3.6439126182442747,40.46635731610687
16,16,-3.67215391748366,40.46178901277778
17,17,-3.7217034828318583,40.41244160902655
18,18,-3.695930083160173,40.487684237186144
19,19,-3.663639240967742,40.41339905949309
20,20,-3.597656618372093,40.45390992255814
21,21,-3.6162267333064517,40.41333049064516
22,22,-3.694300003243243,40.36950148087838
23,23,-3.699102003115727,40.45517738902077
24,24,-3.7323081167336682,40.385828483417086
