,id_cluster,longitud,latitud
0,0,-3.61546858,40.4637944
1,1,-3.6990561675,40.4182428425
2,2,-3.72759054,40.47283102
3,3,-3.6248459449999997,40.38239928
4,4,-3.69402554,40.4859047
5,5,-3.76556744,40.37305566
6,6,-3.6455097199999997,40.428342305
7,7,-3.715191485,40.399218405
8,8,-3.6654946766666665,40.46035255666666
9,9,-3.6784811299999998,40.394025
10,10,-3.7152696499999998,40.43912507
11,11,-3.674321185,40.4357774375
12,12,-3.6589559,40.5022383
13,13,-3.67515524,40.34884445
14,14,-3.6121358199999998,40.421688595000006
15,15,-3.77930603,40.46290593
16,16,-3.742128555,40.373034315
17,17,-3.65624784,40.42253651
18,18,-3.697570155,40.386602285
19,19,-3.70166784,40.45742075
20,20,-3.58143004,40.46916078
21,21,-3.71992556,40.42027268
22,22,-3.59159438,40.35990039
23,23,-3.713029,40.48024499
24,24,-3.647133,40.39894796
25,25,-3.71978995,40.371779090000004
26,26,-3.68075224,40.483269609999994
27,27,-3.6659603425,40.405567175
28,28,-3.772809235,40.39526996
29,29,-3.69125274,40.43974359
30,30,-3.68637846,40.49918429
31,31,-3.65898088,40.48694664
32,32,-3.66371261,40.36777731
33,33,-3.69289139,40.35161565
34,34,-3.6817823350000003,40.42984637
35,35,-3.63537557,40.46266786
36,36,-3.59509639,40.40380518
37,37,-3.62356284,40.44195192
38,38,-3.691833306,40.407969834
39,39,-3.736835945,40.43438447
40,40,-3.661358995,40.431448465
41,41,-3.75042424,40.46896558
42,42,-3.69023949,40.45906418
43,43,-3.677568645,40.450162025
44,44,-3.61173227,40.36958633
45,45,-3.73178741,40.38840809
46,46,-3.70441422,40.43360967
47,47,-3.62756168,40.41437425
48,48,-3.72684355,40.423956919999995
49,49,-3.58289089,40.44457861
50,50,-3.7124289666666668,40.408181309999996
51,51,-3.65298654,40.38134887
52,52,-3.674812236666667,40.472072436666664
53,53,-3.71211253,40.38512685
54,54,-3.75639525,40.39799365
55,55,-3.690263706666667,40.422819346666664
56,56,-3.651765,40.450163585
57,57,-3.685713,40.51635871
58,58,-3.745776715,40.386008045
