,id_cluster,longitud,latitud
0,0,-3.6983274666666666,40.448988474
1,1,-3.640284755,40.397794136
2,2,-3.743521102727273,40.37631544818182
3,3,-3.711589109375,40.423436235
4,4,-3.6642041829411767,40.47479966058823
5,5,-3.5849416275,40.4625300675
6,6,-3.60684931125,40.418788895
7,7,-3.6647208316666666,40.376820685
8,8,-3.6641831205555557,40.446614555
9,9,-3.717687852,40.383839792
10,10,-3.726920897333333,40.43560145466667
11,11,-3.61396735625,40.37447260625
12,12,-3.6257207988888887,40.45620801222222
13,13,-3.69250341,40.354460538333335
14,14,-3.7240232553846155,40.47877876
15,15,-3.6920113629411766,40.48128343941176
16,16,-3.768151422222222,40.38729160333333
17,17,-3.690145806,40.387230777
18,18,-3.7205959633333334,40.40725760583333
19,19,-3.6350913609090907,40.42657962
20,20,-3.6830307143478263,40.42972316608696
21,21,-3.665116738,40.410224121
22,22,-3.7793743949999996,40.457715390000004
23,23,-3.6947807331578946,40.41014436789474
24,24,-3.6723499316666666,40.50314322083333
